family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19
1,123,25,124,93,170,145,136,36,52,8,152,26,7,65,143,91,60,,
1,146,14,161,2,,,,,,,,,,,,,,,
1,147,98,29,37,89,156,115,79,15,165,151,45,49,17,139,,,,
1,128,85,113,103,6,133,119,55,61,153,59,18,16,121,,,,,
1,142,104,20,90,38,87,140,54,46,101,117,138,70,9,,,,,
1,35,112,33,110,175,82,141,96,77,68,42,63,50,34,80,,,,
1,51,78,21,97,163,23,,,,,,,,,,,,,
1,106,66,127,154,56,172,39,19,57,11,109,12,99,75,155,,,,
1,159,129,71,64,168,92,5,1,148,81,24,157,3,44,84,10,86,,
1,144,22,43,95,149,74,171,102,48,122,67,135,,,,,,,
1,131,30,41,125,88,126,116,72,58,169,160,173,,,,,,,
1,4,94,31,166,167,69,73,137,158,32,120,27,28,107,164,111,62,150,118
1,134,100,105,130,53,47,132,13,,,,,,,,,,,
1,162,114,76,108,174,83,,,,,,,,,,,,,
1,40,,,,,,,,,,,,,,,,,,
