family,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20
1,18,2,395,355,391,293,150,143,364,126,410,303,480,173,76,411,429,490,103,38
1,317,194,165,4,232,91,127,262,239,489,193,196,58,107,220,139,269,,,
1,389,350,288,5,3,403,6,69,137,,,,,,,,,,,
1,366,289,271,12,74,265,286,382,325,236,256,226,323,82,184,372,,,,
1,40,332,238,15,156,88,72,37,339,254,253,211,287,177,11,406,93,,,
1,309,247,24,441,92,16,292,45,,,,,,,,,,,,
1,415,380,474,458,394,295,400,222,244,248,206,385,420,379,17,,,,,
1,443,312,246,19,166,344,132,71,422,49,178,197,183,451,,,,,,
1,328,21,299,118,433,243,409,331,169,111,152,322,273,154,444,42,191,190,235,442
1,310,22,61,402,233,354,205,340,192,387,8,186,68,483,,,,,,
1,341,234,142,140,28,131,376,161,110,294,199,,,,,,,,,
1,174,105,188,81,455,155,223,54,144,98,34,25,304,496,383,330,,,,
1,478,278,264,204,94,64,472,352,44,467,432,272,481,427,35,104,,,,
1,225,465,96,454,297,175,116,460,327,182,368,63,101,,,,,,,
1,162,108,218,114,321,281,407,133,153,145,221,,,,,,,,,
1,266,251,224,213,300,203,115,7,446,338,445,315,212,284,360,,,,,
1,358,283,363,329,453,128,159,473,311,158,163,43,448,250,384,,,,,
1,492,345,136,335,195,172,401,41,426,431,146,493,,,,,,,,
1,374,245,440,259,486,456,414,412,185,334,189,201,,,,,,,,
1,482,260,370,217,377,437,229,57,257,20,51,405,430,52,56,393,50,,,
1,319,381,210,97,356,320,198,95,47,187,168,,,,,,,,,
1,313,333,14,214,424,83,484,62,318,367,180,408,416,396,,,,,,
1,78,471,302,378,494,291,316,113,,,,,,,,,,,,
1,167,457,346,282,404,,,,,,,,,,,,,,,
1,459,129,125,263,267,23,413,270,227,,,,,,,,,,,
1,397,447,369,466,46,200,55,33,,,,,,,,,,,,
1,487,85,252,59,277,230,,,,,,,,,,,,,,
1,468,102,65,1,398,31,,,,,,,,,,,,,,
1,130,99,10,362,450,290,357,124,485,285,463,149,479,359,,,,,,
1,348,298,351,258,365,421,141,276,495,,,,,,,,,,,
1,240,242,30,160,66,462,209,122,79,491,435,475,476,,,,,,,
1,138,386,202,390,434,452,27,123,36,,,,,,,,,,,
1,261,324,179,308,176,280,181,70,,,,,,,,,,,,
1,438,337,26,461,48,449,342,73,,,,,,,,,,,,
1,419,301,207,305,343,417,134,90,9,349,371,353,,,,,,,,
1,439,241,388,274,208,60,,,,,,,,,,,,,,
1,399,67,314,100,488,436,477,423,275,13,,,,,,,,,,
1,279,109,170,112,296,84,215,469,392,32,,,,,,,,,,
1,464,428,121,373,29,219,255,216,326,80,347,,,,,,,,,
1,120,361,135,151,119,164,,,,,,,,,,,,,,
1,249,87,75,106,86,39,89,53,148,237,,,,,,,,,,
1,77,147,425,,,,,,,,,,,,,,,,,
1,306,157,117,268,307,171,418,228,336,,,,,,,,,,,
1,470,375,,,,,,,,,,,,,,,,,,
2,231,,,,,,,,,,,,,,,,,,,
